candidate_id,name_tr,name_en,category_tr,target_state,preferred_source,exists_in_current_catalog,existing_food_id,existing_food_name,existing_match_confidence,original_match_status,usda_food_id,usda_name_en,usda_calories_100g,usda_protein_100g,usda_carbs_100g,usda_fat_100g,usda_fiber_100g,usda_sugar_100g,usda_sodium_mg_100g,usda_score,state_match,base_food_match,category_match,variant_warning,missing_nutrient_warning,audit_decision,audit_note
wl_134,Böğürtlen (Dondurulmuş),Blackberries frozen,Meyve,frozen,USDA,true,145,Böğürtlen,medium,likely_match_manual_check,1753,Frozen Unsweetened Blackberry,64,1.18,15.67,0.43,5,10.67,1,47.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Böğürtlen) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_135,Muz (Olgun),Banana ripe,Meyve,raw,USDA,true,46,Muz,medium,can_update_from_usda,6262,"Banana, Raw",89,1.09,22.84,0.33,2.6,12.23,1,68.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Muz) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_136,Elma (Yeşil),Green apple,Meyve,raw,USDA,true,45,Elma,medium,can_update_from_usda,6172,"Apple, Raw, With Skin",52,0.26,13.81,0.17,2.4,10.39,1,74.2143,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Elma) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_137,Armut (Williams),Williams pear,Meyve,raw,USDA,true,55,Armut,medium,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_138,Şeftali,Peach,Meyve,raw,USDA,true,141,Şeftali,medium,can_update_from_usda,6504,"Peach, Raw",42,0.91,10.1,0.27,1.5,0,13,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Şeftali) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_140,Erik,Plum,Meyve,raw,USDA,true,57,Erik,medium,can_update_from_usda,6132,Raw Plum,46,0.7,11.42,0.28,1.4,9.92,0,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Erik) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_141,Kayısı,Apricot,Meyve,raw,USDA,true,62,Kayısı (Taze),strong,can_update_from_usda,6182,"Apricot, Raw, With Skin",48.445,0.9613,10.2387,0.405,1.51,0,0,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Kayısı (Taze)) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_142,İncir (Taze),Fresh fig,Meyve,raw,USDA,true,58,İncir (Taze),exact,wrong_or_weak_match,6501,Raw Figs,74,0.75,19.18,0.3,2.9,16.26,1,22.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (İncir (Taze)) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_143,Nar,Pomegranate,Meyve,raw,USDA,true,59,Nar,medium,can_update_from_usda,6265,Raw Pomegranate,83,1.67,18.7,1.17,4,13.67,3,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Nar) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_153,Patates (Çiğ),Potato raw,Sebze,raw,USDA,true,76,Patates (Haşlanmış),medium,can_update_from_usda,558,"White Potato, Raw, Flesh and Skin",69,1.68,15.71,0.1,2.4,1.15,16,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Patates (Haşlanmış)) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_155,Soğan (Kuru),Onion dry,Sebze,raw,USDA,true,152,Soğan (Çiğ),strong,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_156,Roka,Arugula,Sebze,raw,USDA,true,74,Roka,medium,can_update_from_usda,6315,"Arugula, Raw",30.993,1.6487,5.3682,0.325,2.28,0,86.93,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Roka) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_157,Marul (Iceberg),Iceberg lettuce,Sebze,raw,USDA,true,67,Marul,medium,can_update_from_usda,6163,"Iceberg Lettuce, Raw",17.1088,0.7425,3.3687,0.0737,0,0,16.11,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Marul) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_158,Ispanak (Çiğ),Spinach raw,Sebze,raw,USDA,true,17,Ispanak (Çiğ),exact,can_update_from_usda,2181,"Mustard Spinach, Raw",22,2.2,3.9,0.3,2.8,0,21,76,false,false,true,,,manual_review_existing_food,Ispanak (Çiğ) → hardal/su ıspanağı; normal ıspanak gerekli. Mevcut katalog girdisi var (Ispanak (Çiğ)).
